,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
0,0.42410714285714285,0.7364341085271318,0.6246539313399778,0.3682170542635659,0.7364341085271318,0.5423351962021513,0.5,0.7364341085271318,0.7364341085271318
1,0.42410714285714285,0.7364341085271318,0.6246539313399778,0.3682170542635659,0.7364341085271318,0.5423351962021513,0.5,0.7364341085271318,0.7364341085271318
2,0.42342342342342343,0.734375,0.6219031531531531,0.3671875,0.734375,0.539306640625,0.5,0.734375,0.734375
3,0.42342342342342343,0.734375,0.6219031531531531,0.3671875,0.734375,0.539306640625,0.5,0.734375,0.734375
4,0.42342342342342343,0.734375,0.6219031531531531,0.3671875,0.734375,0.539306640625,0.5,0.734375,0.734375
5,0.4253393665158371,0.7401574803149605,0.629636227598247,0.3700787401574803,0.7401574803149606,0.5478330956661913,0.5,0.7401574803149606,0.7401574803149606
6,0.4253393665158371,0.7401574803149605,0.629636227598247,0.3700787401574803,0.7401574803149606,0.5478330956661913,0.5,0.7401574803149606,0.7401574803149606
7,0.4253393665158371,0.7401574803149605,0.629636227598247,0.3700787401574803,0.7401574803149606,0.5478330956661913,0.5,0.7401574803149606,0.7401574803149606
8,0.4253393665158371,0.7401574803149605,0.629636227598247,0.3700787401574803,0.7401574803149606,0.5478330956661913,0.5,0.7401574803149606,0.7401574803149606
9,0.4253393665158371,0.7401574803149605,0.629636227598247,0.3700787401574803,0.7401574803149606,0.5478330956661913,0.5,0.7401574803149606,0.7401574803149606
